entity_id,state,last_changed
sensor.esp32_bme680_temperature,unavailable,2025-01-30T08:00:00.000Z
sensor.esp32_bme680_temperature,unknown,2025-01-31T22:51:17.011Z
sensor.esp32_bme680_temperature,72.5,2025-01-31T22:51:39.136Z
sensor.esp32_bme680_temperature,72.0,2025-01-31T22:52:59.115Z
sensor.esp32_bme680_temperature,71.4,2025-01-31T22:54:19.116Z
sensor.esp32_bme680_temperature,71.2,2025-01-31T22:55:39.120Z
sensor.esp32_bme680_temperature,71.4,2025-01-31T22:58:19.123Z
sensor.esp32_bme680_temperature,71.6,2025-01-31T23:07:39.149Z
sensor.esp32_bme680_temperature,unavailable,2025-01-31T23:10:16.734Z
sensor.esp32_bme680_temperature,unknown,2025-01-31T23:10:17.018Z
sensor.esp32_bme680_temperature,unavailable,2025-01-31T23:11:03.526Z
sensor.esp32_bme680_temperature,unknown,2025-01-31T23:11:04.087Z
sensor.esp32_bme680_temperature,72.7,2025-01-31T23:11:29.905Z
sensor.esp32_bme680_temperature,72.5,2025-01-31T23:12:49.888Z
sensor.esp32_bme680_temperature,72.3,2025-01-31T23:14:09.891Z
sensor.esp32_bme680_temperature,73.9,2025-01-31T23:18:09.905Z
sensor.esp32_bme680_temperature,73.2,2025-01-31T23:19:29.906Z
sensor.esp32_bme680_pressure,unavailable,2025-01-30T08:00:00.000Z
sensor.esp32_bme680_pressure,14.81,2025-01-31T22:51:17.022Z
sensor.esp32_bme680_pressure,102120.0,2025-01-31T22:58:18.722Z
sensor.esp32_bme680_pressure,14.81,2025-01-31T22:59:22.419Z
sensor.esp32_bme680_pressure,unavailable,2025-01-31T23:10:16.734Z
sensor.esp32_bme680_pressure,14.81,2025-01-31T23:10:17.031Z
sensor.esp32_bme680_pressure,unavailable,2025-01-31T23:11:03.526Z
sensor.esp32_bme680_pressure,14.81,2025-01-31T23:11:04.100Z
sensor.esp32_bme680_humidity,unavailable,2025-01-30T08:00:00.000Z
sensor.esp32_bme680_humidity,54.2,2025-01-31T22:51:17.029Z
sensor.esp32_bme680_humidity,100.0,2025-01-31T22:51:19.126Z
sensor.esp32_bme680_humidity,unavailable,2025-01-31T23:10:16.734Z
sensor.esp32_bme680_humidity,48.7,2025-01-31T23:10:17.036Z
sensor.esp32_bme680_humidity,unavailable,2025-01-31T23:11:03.526Z
sensor.esp32_bme680_humidity,50.4,2025-01-31T23:11:04.105Z
sensor.esp32_bme680_humidity,48.8,2025-01-31T23:11:09.913Z
sensor.esp32_bme680_humidity,48.6,2025-01-31T23:11:29.905Z
sensor.esp32_bme680_humidity,48.2,2025-01-31T23:11:49.883Z
sensor.esp32_bme680_humidity,48.3,2025-01-31T23:12:29.902Z
sensor.esp32_bme680_humidity,48.7,2025-01-31T23:13:09.900Z
sensor.esp32_bme680_humidity,48.3,2025-01-31T23:13:29.890Z
sensor.esp32_bme680_humidity,48.4,2025-01-31T23:13:49.898Z
sensor.esp32_bme680_humidity,48.5,2025-01-31T23:14:09.902Z
sensor.esp32_bme680_humidity,48.3,2025-01-31T23:14:29.935Z
sensor.esp32_bme680_humidity,48.4,2025-01-31T23:15:49.909Z
sensor.esp32_bme680_humidity,61.7,2025-01-31T23:16:29.899Z
sensor.esp32_bme680_humidity,58.3,2025-01-31T23:16:49.906Z
sensor.esp32_bme680_humidity,48.2,2025-01-31T23:17:09.898Z
sensor.esp32_bme680_humidity,47.4,2025-01-31T23:17:29.892Z
sensor.esp32_bme680_humidity,47.5,2025-01-31T23:17:49.909Z
sensor.esp32_bme680_humidity,47.3,2025-01-31T23:18:09.905Z
sensor.esp32_bme680_humidity,47.5,2025-01-31T23:18:29.906Z
sensor.esp32_bme680_humidity,47.6,2025-01-31T23:19:09.905Z
sensor.esp32_bme680_humidity,47.9,2025-01-31T23:19:29.906Z
sensor.esp32_bme680_humidity,48.0,2025-01-31T23:19:49.898Z
sensor.esp32_bme680_humidity,47.8,2025-01-31T23:20:09.880Z
sensor.esp32_bme680_gas_resistance,unavailable,2025-01-30T08:00:00.000Z
sensor.esp32_bme680_gas_resistance,unknown,2025-01-31T22:51:17.043Z
sensor.esp32_bme680_gas_resistance,unavailable,2025-01-31T23:10:16.733Z
sensor.esp32_bme680_gas_resistance,4390.3,2025-01-31T23:10:17.048Z
sensor.esp32_bme680_gas_resistance,unavailable,2025-01-31T23:11:03.526Z
sensor.esp32_bme680_gas_resistance,unknown,2025-01-31T23:11:04.119Z
sensor.esp32_bme680_gas_resistance,5373.2,2025-01-31T23:11:09.913Z
sensor.esp32_bme680_gas_resistance,7569.1,2025-01-31T23:11:29.911Z
sensor.esp32_bme680_gas_resistance,9626.5,2025-01-31T23:11:49.897Z
sensor.esp32_bme680_gas_resistance,11749.4,2025-01-31T23:12:09.903Z
sensor.esp32_bme680_gas_resistance,13622.3,2025-01-31T23:12:29.902Z
sensor.esp32_bme680_gas_resistance,15566.9,2025-01-31T23:12:49.921Z
sensor.esp32_bme680_gas_resistance,17361.1,2025-01-31T23:13:09.901Z
sensor.esp32_bme680_gas_resistance,19315.0,2025-01-31T23:13:29.895Z
sensor.esp32_bme680_gas_resistance,20854.1,2025-01-31T23:13:49.898Z
