entity_id,state,last_changed
sensor.esp32_bme680_temperature,unavailable,2025-03-02T08:00:00.000Z
sensor.esp32_bme680_temperature,unknown,2025-03-04T00:09:37.322Z
sensor.esp32_bme680_temperature,75.7,2025-03-04T00:10:06.166Z
sensor.esp32_bme680_temperature,75.6,2025-03-04T00:12:46.225Z
sensor.esp32_bme680_temperature,75.7,2025-03-04T00:15:26.177Z
sensor.esp32_bme680_temperature,75.9,2025-03-04T00:16:46.152Z
sensor.esp32_bme680_temperature,76.1,2025-03-04T00:23:26.242Z
sensor.esp32_bme680_temperature,76.3,2025-03-04T00:24:46.221Z
sensor.esp32_bme680_temperature,76.5,2025-03-04T00:26:06.202Z
sensor.esp32_bme680_temperature,unavailable,2025-03-04T00:28:47.468Z
sensor.esp32_bme680_temperature,unknown,2025-03-04T02:08:12.633Z
sensor.esp32_bme680_temperature,70.2,2025-03-04T02:08:43.532Z
sensor.esp32_bme680_temperature,70.3,2025-03-04T02:10:03.564Z
sensor.esp32_bme680_temperature,70.7,2025-03-04T02:11:23.568Z
sensor.esp32_bme680_temperature,70.9,2025-03-04T02:12:43.571Z
sensor.esp32_bme680_temperature,unavailable,2025-03-04T02:15:22.625Z
sensor.esp32_bme680_temperature,unknown,2025-03-04T02:43:58.268Z
sensor.esp32_bme680_temperature,74.7,2025-03-04T02:44:20.217Z
sensor.esp32_bme680_temperature,74.1,2025-03-04T02:45:40.224Z
sensor.esp32_bme680_temperature,73.9,2025-03-04T02:47:00.238Z
sensor.esp32_bme680_temperature,unavailable,2025-03-04T02:49:27.997Z
sensor.esp32_bme680_pressure,unavailable,2025-03-02T08:00:00.000Z
sensor.esp32_bme680_pressure,14.20,2025-03-04T00:09:37.336Z
sensor.esp32_bme680_pressure,14.19,2025-03-04T00:12:26.151Z
sensor.esp32_bme680_pressure,14.20,2025-03-04T00:12:46.225Z
sensor.esp32_bme680_pressure,14.19,2025-03-04T00:13:46.134Z
sensor.esp32_bme680_pressure,14.20,2025-03-04T00:14:26.402Z
sensor.esp32_bme680_pressure,unavailable,2025-03-04T00:28:47.468Z
sensor.esp32_bme680_pressure,14.22,2025-03-04T02:08:12.648Z
sensor.esp32_bme680_pressure,unavailable,2025-03-04T02:15:22.625Z
sensor.esp32_bme680_pressure,14.22,2025-03-04T02:43:58.305Z
sensor.esp32_bme680_pressure,unavailable,2025-03-04T02:49:27.997Z
sensor.esp32_bme680_humidity,unavailable,2025-03-02T08:00:00.000Z
sensor.esp32_bme680_humidity,45.9,2025-03-04T00:09:37.342Z
sensor.esp32_bme680_humidity,45.8,2025-03-04T00:09:46.163Z
sensor.esp32_bme680_humidity,45.9,2025-03-04T00:10:06.168Z
sensor.esp32_bme680_humidity,46.3,2025-03-04T00:10:26.135Z
sensor.esp32_bme680_humidity,46.4,2025-03-04T00:10:46.206Z
sensor.esp32_bme680_humidity,46.0,2025-03-04T00:11:06.175Z
sensor.esp32_bme680_humidity,45.9,2025-03-04T00:11:46.321Z
sensor.esp32_bme680_humidity,46.2,2025-03-04T00:12:06.182Z
sensor.esp32_bme680_humidity,46.1,2025-03-04T00:12:46.226Z
sensor.esp32_bme680_humidity,46.2,2025-03-04T00:13:06.191Z
sensor.esp32_bme680_humidity,46.3,2025-03-04T00:13:26.171Z
sensor.esp32_bme680_humidity,46.2,2025-03-04T00:13:46.135Z
sensor.esp32_bme680_humidity,46.9,2025-03-04T00:14:06.303Z
sensor.esp32_bme680_humidity,47.0,2025-03-04T00:14:26.402Z
sensor.esp32_bme680_humidity,49.1,2025-03-04T00:14:46.142Z
sensor.esp32_bme680_humidity,46.9,2025-03-04T00:15:06.125Z
sensor.esp32_bme680_humidity,46.3,2025-03-04T00:15:26.192Z
sensor.esp32_bme680_humidity,46.4,2025-03-04T00:15:46.246Z
sensor.esp32_bme680_humidity,46.5,2025-03-04T00:16:06.128Z
sensor.esp32_bme680_humidity,46.6,2025-03-04T00:16:26.260Z
sensor.esp32_bme680_humidity,46.7,2025-03-04T00:17:06.248Z
sensor.esp32_bme680_humidity,46.4,2025-03-04T00:17:26.130Z
sensor.esp32_bme680_humidity,46.5,2025-03-04T00:17:46.194Z
sensor.esp32_bme680_humidity,46.4,2025-03-04T00:18:46.170Z
sensor.esp32_bme680_humidity,46.5,2025-03-04T00:19:06.142Z
sensor.esp32_bme680_humidity,46.6,2025-03-04T00:19:26.211Z
sensor.esp32_bme680_humidity,46.5,2025-03-04T00:20:06.249Z
sensor.esp32_bme680_humidity,46.4,2025-03-04T00:20:26.218Z
sensor.esp32_bme680_humidity,46.6,2025-03-04T00:21:06.164Z
sensor.esp32_bme680_humidity,49.2,2025-03-04T00:21:26.226Z
sensor.esp32_bme680_humidity,47.2,2025-03-04T00:21:46.195Z
sensor.esp32_bme680_humidity,46.6,2025-03-04T00:22:06.180Z
sensor.esp32_bme680_humidity,46.5,2025-03-04T00:22:26.190Z
sensor.esp32_bme680_humidity,46.4,2025-03-04T00:22:46.204Z
sensor.esp32_bme680_humidity,46.9,2025-03-04T00:23:26.246Z
sensor.esp32_bme680_humidity,46.7,2025-03-04T00:23:46.213Z
sensor.esp32_bme680_humidity,46.8,2025-03-04T00:24:06.180Z
sensor.esp32_bme680_humidity,46.7,2025-03-04T00:24:26.154Z
sensor.esp32_bme680_humidity,46.5,2025-03-04T00:25:06.191Z
sensor.esp32_bme680_humidity,46.4,2025-03-04T00:25:26.260Z
sensor.esp32_bme680_humidity,46.6,2025-03-04T00:25:46.230Z
sensor.esp32_bme680_humidity,46.5,2025-03-04T00:26:06.203Z
sensor.esp32_bme680_humidity,46.6,2025-03-04T00:26:26.170Z
sensor.esp32_bme680_humidity,unavailable,2025-03-04T00:28:47.468Z
sensor.esp32_bme680_humidity,36.9,2025-03-04T02:08:12.651Z
sensor.esp32_bme680_humidity,36.6,2025-03-04T02:08:23.549Z
sensor.esp32_bme680_humidity,36.5,2025-03-04T02:09:03.546Z
sensor.esp32_bme680_humidity,36.4,2025-03-04T02:09:43.561Z
sensor.esp32_bme680_humidity,36.5,2025-03-04T02:10:03.574Z
sensor.esp32_bme680_humidity,36.8,2025-03-04T02:10:43.581Z
sensor.esp32_bme680_humidity,36.6,2025-03-04T02:11:03.597Z
sensor.esp32_bme680_humidity,36.4,2025-03-04T02:11:23.579Z
sensor.esp32_bme680_humidity,36.3,2025-03-04T02:12:03.585Z
sensor.esp32_bme680_humidity,36.2,2025-03-04T02:12:43.584Z
sensor.esp32_bme680_humidity,36.0,2025-03-04T02:13:23.576Z
sensor.esp32_bme680_humidity,unavailable,2025-03-04T02:15:22.625Z
sensor.esp32_bme680_humidity,36.8,2025-03-04T02:43:58.332Z
sensor.esp32_bme680_humidity,36.3,2025-03-04T02:44:00.250Z
sensor.esp32_bme680_humidity,35.8,2025-03-04T02:44:20.336Z
sensor.esp32_bme680_humidity,35.9,2025-03-04T02:45:00.231Z
sensor.esp32_bme680_humidity,36.0,2025-03-04T02:45:20.235Z
sensor.esp32_bme680_humidity,36.1,2025-03-04T02:45:40.241Z
sensor.esp32_bme680_humidity,36.2,2025-03-04T02:46:20.259Z
sensor.esp32_bme680_humidity,36.9,2025-03-04T02:47:20.240Z
sensor.esp32_bme680_humidity,unavailable,2025-03-04T02:49:27.997Z
