entity_id,state,last_changed
sensor.esp32_bme680_temperature,unavailable,2025-03-09T08:00:00.000Z
sensor.esp32_bme680_temperature,unknown,2025-03-10T04:35:47.870Z
sensor.esp32_bme680_temperature,79.0,2025-03-10T04:36:13.559Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T04:37:47.600Z
sensor.esp32_bme680_temperature,unknown,2025-03-10T04:37:47.852Z
sensor.esp32_bme680_temperature,77.0,2025-03-10T04:38:12.644Z
sensor.esp32_bme680_temperature,76.8,2025-03-10T04:39:32.616Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T04:40:08.133Z
sensor.esp32_bme680_temperature,unknown,2025-03-10T04:40:08.401Z
sensor.esp32_bme680_temperature,76.3,2025-03-10T04:40:26.893Z
sensor.esp32_bme680_temperature,75.9,2025-03-10T04:41:46.924Z
sensor.esp32_bme680_temperature,72.1,2025-03-10T04:43:06.924Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T04:43:51.167Z
sensor.esp32_bme680_temperature,unknown,2025-03-10T04:43:52.710Z
sensor.esp32_bme680_temperature,68.0,2025-03-10T04:44:14.766Z
sensor.esp32_bme680_temperature,67.1,2025-03-10T04:45:34.773Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T04:46:32.746Z
sensor.esp32_bme680_temperature,unknown,2025-03-10T04:46:33.001Z
sensor.esp32_bme680_temperature,69.4,2025-03-10T04:46:49.454Z
sensor.esp32_bme680_temperature,70.5,2025-03-10T04:48:10.458Z
sensor.esp32_bme680_temperature,73.4,2025-03-10T04:49:49.475Z
sensor.esp32_bme680_temperature,23.0,2025-03-10T04:50:32.468Z
sensor.esp32_bme680_temperature,23.2,2025-03-10T04:51:09.531Z
sensor.esp32_bme680_temperature,23.6,2025-03-10T04:52:29.500Z
sensor.esp32_bme680_temperature,24.1,2025-03-10T04:53:49.487Z
sensor.esp32_bme680_temperature,24.3,2025-03-10T04:55:09.503Z
sensor.esp32_bme680_temperature,24.4,2025-03-10T04:56:29.496Z
sensor.esp32_bme680_temperature,24.6,2025-03-10T04:57:49.531Z
sensor.esp32_bme680_temperature,24.7,2025-03-10T04:59:09.498Z
sensor.esp32_bme680_temperature,76.5,2025-03-10T05:00:27.631Z
sensor.esp32_bme680_temperature,76.6,2025-03-10T05:00:29.533Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T05:05:43.324Z
sensor.esp32_bme680_temperature,76.6,2025-03-10T05:06:05.189Z
sensor.esp32_bme680_temperature,76.5,2025-03-10T05:07:09.529Z
sensor.esp32_bme680_temperature,76.6,2025-03-10T05:08:29.546Z
sensor.esp32_bme680_temperature,77.0,2025-03-10T05:11:09.537Z
sensor.esp32_bme680_temperature,77.2,2025-03-10T05:20:29.562Z
sensor.esp32_bme680_temperature,77.4,2025-03-10T05:23:09.556Z
sensor.esp32_bme680_temperature,77.5,2025-03-10T05:27:09.532Z
sensor.esp32_bme680_temperature,77.4,2025-03-10T05:28:29.539Z
sensor.esp32_bme680_temperature,77.5,2025-03-10T05:31:09.511Z
sensor.esp32_bme680_temperature,77.7,2025-03-10T05:43:09.516Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T05:48:45.794Z
sensor.esp32_bme680_temperature,unknown,2025-03-10T05:48:46.154Z
sensor.esp32_bme680_temperature,78.3,2025-03-10T05:49:06.088Z
sensor.esp32_bme680_temperature,78.1,2025-03-10T05:50:26.107Z
sensor.esp32_bme680_temperature,77.7,2025-03-10T05:51:46.096Z
sensor.esp32_bme680_temperature,77.9,2025-03-10T05:57:06.120Z
sensor.esp32_bme680_temperature,77.7,2025-03-10T06:07:46.161Z
sensor.esp32_bme680_temperature,77.5,2025-03-10T06:15:46.139Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T06:19:56.926Z
sensor.esp32_bme680_temperature,75.2,2025-03-10T08:47:51.843Z
sensor.esp32_bme680_temperature,24.0,2025-03-10T08:48:04.752Z
sensor.esp32_bme680_temperature,75.2,2025-03-10T08:48:12.515Z
sensor.esp32_bme680_temperature,75.4,2025-03-10T08:50:30.817Z
sensor.esp32_bme680_temperature,75.6,2025-03-10T08:51:50.806Z
sensor.esp32_bme680_temperature,75.7,2025-03-10T08:53:10.794Z
sensor.esp32_bme680_temperature,75.9,2025-03-10T08:54:30.796Z
sensor.esp32_bme680_temperature,76.1,2025-03-10T08:55:50.796Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T09:02:01.885Z
sensor.esp32_bme680_temperature,unknown,2025-03-10T22:11:21.461Z
sensor.esp32_bme680_temperature,71.2,2025-03-10T22:11:30.778Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T22:12:06.164Z
sensor.esp32_bme680_temperature,71.2,2025-03-10T22:13:16.691Z
sensor.esp32_bme680_temperature,72.7,2025-03-10T22:14:15.129Z
sensor.esp32_bme680_temperature,72.3,2025-03-10T22:14:55.268Z
sensor.esp32_bme680_temperature,71.8,2025-03-10T22:15:15.081Z
sensor.esp32_bme680_temperature,72.7,2025-03-10T22:15:55.115Z
sensor.esp32_bme680_temperature,72.3,2025-03-10T22:16:15.135Z
sensor.esp32_bme680_temperature,72.1,2025-03-10T22:16:35.101Z
sensor.esp32_bme680_temperature,72.0,2025-03-10T22:17:35.112Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T22:19:45.800Z
sensor.esp32_bme680_temperature,70.3,2025-03-10T23:21:28.572Z
sensor.esp32_bme680_temperature,70.2,2025-03-10T23:21:32.309Z
sensor.esp32_bme680_temperature,70.3,2025-03-10T23:23:32.341Z
sensor.esp32_bme680_temperature,70.2,2025-03-10T23:23:52.343Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T23:24:49.138Z
sensor.esp32_bme680_temperature,70.2,2025-03-10T23:24:50.262Z
sensor.esp32_bme680_temperature,69.8,2025-03-10T23:25:25.272Z
sensor.esp32_bme680_temperature,70.0,2025-03-10T23:26:25.277Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T23:27:50.581Z
sensor.esp32_bme680_temperature,70.0,2025-03-10T23:27:52.105Z
sensor.esp32_bme680_temperature,unavailable,2025-03-10T23:30:01.838Z
sensor.esp32_bme680_temperature,72.3,2025-03-11T03:39:29.002Z
sensor.esp32_bme680_temperature,72.5,2025-03-11T03:39:43.639Z
sensor.esp32_bme680_temperature,72.7,2025-03-11T03:40:23.879Z
sensor.esp32_bme680_temperature,74.7,2025-03-11T03:41:03.815Z
sensor.esp32_bme680_temperature,74.1,2025-03-11T03:41:23.686Z
sensor.esp32_bme680_temperature,73.6,2025-03-11T03:41:43.867Z
sensor.esp32_bme680_temperature,73.4,2025-03-11T03:42:03.617Z
sensor.esp32_bme680_temperature,73.2,2025-03-11T03:42:23.802Z
sensor.esp32_bme680_temperature,73.4,2025-03-11T03:44:03.628Z
sensor.esp32_bme680_pressure,unavailable,2025-03-09T08:00:00.000Z
sensor.esp32_bme680_pressure,14.76,2025-03-10T04:35:47.919Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T04:37:47.585Z
sensor.esp32_bme680_pressure,14.76,2025-03-10T04:37:47.858Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T04:40:08.132Z
sensor.esp32_bme680_pressure,14.76,2025-03-10T04:40:08.419Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T04:43:51.166Z
sensor.esp32_bme680_pressure,14.76,2025-03-10T04:43:52.712Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T04:46:32.744Z
sensor.esp32_bme680_pressure,14.76,2025-03-10T04:46:33.022Z
sensor.esp32_bme680_pressure,unknown,2025-03-10T04:48:10.459Z
sensor.esp32_bme680_pressure,14.76,2025-03-10T04:48:49.510Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T05:05:43.322Z
sensor.esp32_bme680_pressure,14.76,2025-03-10T05:06:05.197Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T05:48:45.792Z
sensor.esp32_bme680_pressure,14.76,2025-03-10T05:48:46.174Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T06:19:56.887Z
sensor.esp32_bme680_pressure,14.74,2025-03-10T08:47:51.931Z
sensor.esp32_bme680_pressure,14.73,2025-03-10T09:00:10.811Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T09:02:01.855Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:11:21.464Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T22:12:06.163Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:13:16.700Z
sensor.esp32_bme680_pressure,14.12,2025-03-10T22:13:35.099Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:13:40.354Z
sensor.esp32_bme680_pressure,14.12,2025-03-10T22:13:50.244Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:14:05.202Z
sensor.esp32_bme680_pressure,14.12,2025-03-10T22:14:25.168Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:14:30.177Z
sensor.esp32_bme680_pressure,14.12,2025-03-10T22:14:45.158Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:14:55.268Z
sensor.esp32_bme680_pressure,14.12,2025-03-10T22:15:05.110Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:15:15.082Z
sensor.esp32_bme680_pressure,14.12,2025-03-10T22:15:25.069Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:15:35.106Z
sensor.esp32_bme680_pressure,14.12,2025-03-10T22:16:35.102Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:16:50.113Z
sensor.esp32_bme680_pressure,14.12,2025-03-10T22:17:00.067Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:17:15.081Z
sensor.esp32_bme680_pressure,14.12,2025-03-10T22:17:25.102Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T22:17:40.116Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T22:19:45.800Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T23:21:28.572Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T23:24:49.137Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T23:24:50.267Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T23:27:50.570Z
sensor.esp32_bme680_pressure,14.11,2025-03-10T23:27:52.123Z
sensor.esp32_bme680_pressure,unavailable,2025-03-10T23:30:01.838Z
sensor.esp32_bme680_pressure,14.13,2025-03-11T03:39:29.002Z
sensor.esp32_bme680_pressure,14.14,2025-03-11T03:40:43.742Z
sensor.esp32_bme680_pressure,14.13,2025-03-11T03:40:58.621Z
sensor.esp32_bme680_humidity,unavailable,2025-03-09T08:00:00.000Z
sensor.esp32_bme680_humidity,51.1,2025-03-10T04:35:47.920Z
sensor.esp32_bme680_humidity,48.4,2025-03-10T04:35:53.597Z
sensor.esp32_bme680_humidity,48.3,2025-03-10T04:36:13.593Z
sensor.esp32_bme680_humidity,48.5,2025-03-10T04:36:53.581Z
sensor.esp32_bme680_humidity,48.7,2025-03-10T04:37:13.580Z
sensor.esp32_bme680_humidity,unavailable,2025-03-10T04:37:47.585Z
sensor.esp32_bme680_humidity,48.9,2025-03-10T04:37:47.864Z
sensor.esp32_bme680_humidity,49.5,2025-03-10T04:37:52.592Z
sensor.esp32_bme680_humidity,49.6,2025-03-10T04:38:32.595Z
sensor.esp32_bme680_humidity,49.7,2025-03-10T04:38:52.596Z
sensor.esp32_bme680_humidity,50.0,2025-03-10T04:39:12.595Z
sensor.esp32_bme680_humidity,50.4,2025-03-10T04:39:32.617Z
sensor.esp32_bme680_humidity,unavailable,2025-03-10T04:40:08.132Z
sensor.esp32_bme680_humidity,50.1,2025-03-10T04:40:08.420Z
sensor.esp32_bme680_humidity,50.2,2025-03-10T04:40:46.927Z
sensor.esp32_bme680_humidity,51.0,2025-03-10T04:41:06.947Z
sensor.esp32_bme680_humidity,46.3,2025-03-10T04:41:26.913Z
sensor.esp32_bme680_humidity,44.1,2025-03-10T04:41:46.928Z
sensor.esp32_bme680_humidity,44.7,2025-03-10T04:42:26.918Z
sensor.esp32_bme680_humidity,45.7,2025-03-10T04:42:46.923Z
sensor.esp32_bme680_humidity,46.5,2025-03-10T04:43:06.925Z
sensor.esp32_bme680_humidity,unavailable,2025-03-10T04:43:51.166Z
sensor.esp32_bme680_humidity,48.6,2025-03-10T04:43:52.725Z
sensor.esp32_bme680_humidity,49.2,2025-03-10T04:43:54.765Z
sensor.esp32_bme680_humidity,50.0,2025-03-10T04:44:14.766Z
sensor.esp32_bme680_humidity,50.2,2025-03-10T04:44:34.763Z
