entity_id,state,last_changed
sensor.esp32_bme680_temperature,78.3,2025-01-26T08:00:00.000Z
sensor.esp32_bme680_temperature,unavailable,2025-01-28T00:18:47.896Z
sensor.esp32_bme680_temperature,unknown,2025-01-28T02:15:13.110Z
sensor.esp32_bme680_temperature,72.3,2025-01-28T02:15:38.950Z
sensor.esp32_bme680_temperature,72.5,2025-01-28T02:16:58.969Z
sensor.esp32_bme680_temperature,72.7,2025-01-28T02:18:18.935Z
sensor.esp32_bme680_temperature,72.5,2025-01-28T02:20:58.975Z
sensor.esp32_bme680_temperature,72.7,2025-01-28T02:28:58.939Z
sensor.esp32_bme680_temperature,72.5,2025-01-28T02:31:38.994Z
sensor.esp32_bme680_temperature,72.7,2025-01-28T02:34:18.938Z
sensor.esp32_bme680_temperature,73.9,2025-01-28T02:35:39.013Z
sensor.esp32_bme680_temperature,73.4,2025-01-28T02:36:58.986Z
sensor.esp32_bme680_temperature,73.2,2025-01-28T02:38:18.960Z
sensor.esp32_bme680_temperature,73.0,2025-01-28T02:40:59.011Z
sensor.esp32_bme680_temperature,73.2,2025-01-28T02:44:59.029Z
sensor.esp32_bme680_pressure,14.80,2025-01-26T08:00:00.000Z
sensor.esp32_bme680_pressure,unavailable,2025-01-28T00:18:47.897Z
sensor.esp32_bme680_pressure,14.22,2025-01-28T02:15:13.156Z
sensor.esp32_bme680_pressure,14.23,2025-01-28T02:33:39.025Z
sensor.esp32_bme680_pressure,14.22,2025-01-28T02:34:39.009Z
sensor.esp32_bme680_pressure,14.23,2025-01-28T02:34:58.974Z
sensor.esp32_bme680_pressure,14.22,2025-01-28T02:35:18.942Z
sensor.esp32_bme680_pressure,14.23,2025-01-28T02:35:58.981Z
sensor.esp32_bme680_pressure,14.22,2025-01-28T02:36:18.948Z
sensor.esp32_bme680_humidity,28.6,2025-01-26T08:00:00.000Z
sensor.esp32_bme680_humidity,unavailable,2025-01-28T00:18:47.897Z
sensor.esp32_bme680_humidity,36.5,2025-01-28T02:15:13.169Z
sensor.esp32_bme680_humidity,36.2,2025-01-28T02:15:18.930Z
sensor.esp32_bme680_humidity,35.7,2025-01-28T02:15:38.951Z
